Marker	LG	Distance (cM)	Sctg	Position_Sctg
72669_sctg_3_1480035	1	54.123	3	1480035
72673_sctg_3_1484798	1	54.123	3	1484798
72675_sctg_3_1488447	1	54.123	3	1488447
72699_sctg_3_1528619	1	54.123	3	1528619
72716_sctg_3_1556272	1	54.123	3	1556272
72762_sctg_3_1598510	1	54.123	3	1598510
19205_sctg_145_9959	1	54.123	145	9959
18959_sctg_145_13760	1	54.123	145	13760
18981_sctg_145_16178	1	54.123	145	16178
18941_sctg_145_117243	1	56.628	145	117243
19004_sctg_145_184169	1	59.132	145	184169
19010_sctg_145_190310	1	59.132	145	190310
19070_sctg_145_307470	1	60.383	145	307470
19071_sctg_145_310453	1	60.383	145	310453
19124_sctg_145_388181	1	60.383	145	388181
32321_sctg_18_1016204	1	65.401	18	1016204
32314_sctg_18_1009654	1	65.401	18	1009654
32310_sctg_18_1004403	1	65.401	18	1004403
33066_sctg_18_993337	1	65.401	18	993337
33054_sctg_18_975142	1	69.158	18	975142
33036_sctg_18_953941	1	69.158	18	953941
32999_sctg_18_887408	1	69.158	18	887408
32948_sctg_18_807616	1	69.158	18	807616
32900_sctg_18_766418	1	69.158	18	766418
32893_sctg_18_760754	1	69.158	18	760754
32886_sctg_18_749367	1	69.158	18	749367
32876_sctg_18_741276	1	69.158	18	741276
32755_sctg_18_594442	1	70.408	18	594442
32742_sctg_18_572828	1	70.408	18	572828
32738_sctg_18_568194	1	70.408	18	568194
32713_sctg_18_542612	1	72.912	18	542612
32677_sctg_18_500057	1	75.416	18	500057
32531_sctg_18_302366	1	75.416	18	302366
32466_sctg_18_231570	1	76.016	18	231570
32403_sctg_18_146332	1	76.668	18	146332
32385_sctg_18_120904	1	76.668	18	120904
32945_sctg_18_80449	1	77.92	18	80449
32826_sctg_18_68481	1	77.92	18	68481
71261_sctg_392_115107	1	82.89	392	115107
71256_sctg_392_112623	1	82.94	392	112623
71310_sctg_392_88337	1	82.94	392	88337
87022_sctg_533_17847	1	84.19	533	17847
87026_sctg_533_19044	1	84.19	533	19044
55188_sctg_297_176800	1	84.19	297	176800
55157_sctg_297_151331	1	84.19	297	151331
55153_sctg_297_150097	1	84.19	297	150097
55126_sctg_297_125044	1	85.44	297	125044
55119_sctg_297_120271	1	85.44	297	120271
55218_sctg_297_44425	1	85.44	297	44425
55217_sctg_297_44230	1	85.44	297	44230
55216_sctg_297_43759	1	85.44	297	43759
55168_sctg_297_16569	1	85.44	297	16569
56721_sctg_2_1882260	1	85.44	2	1882260
56681_sctg_2_1823825	1	85.44	2	1823825
56680_sctg_2_1823622	1	85.44	2	1823622
56523_sctg_2_1569356	1	91.723	2	1569356
56487_sctg_2_1522248	1	91.723	2	1522248
56478_sctg_2_1511183	1	91.723	2	1511183
56464_sctg_2_1501944	1	91.723	2	1501944
56363_sctg_2_1353187	1	91.753	2	1353187
56306_sctg_2_1233942	1	91.773	2	1233942
56278_sctg_2_1197756	1	91.793	2	1197756
56233_sctg_2_1145589	1	92.723	2	1145589
56213_sctg_2_1118698	1	93.523	2	1118698
57177_sctg_2_847695	1	94.226	2	847695
57134_sctg_2_792135	1	95.477	2	792135
57128_sctg_2_777995	1	95.477	2	777995
57106_sctg_2_754342	1	99.236	2	754342
57097_sctg_2_744351	1	99.236	2	744351
57066_sctg_2_700851	1	100.487	2	700851
57063_sctg_2_700196	1	100.487	2	700196
57031_sctg_2_651034	1	100.487	2	651034
57013_sctg_2_633852	1	100.487	2	633852
56964_sctg_2_555344	1	101.737	2	555344
56953_sctg_2_528203	1	101.737	2	528203
56948_sctg_2_514892	1	101.737	2	514892
56930_sctg_2_479418	1	101.737	2	479418
56927_sctg_2_478843	1	101.737	2	478843
56911_sctg_2_457950	1	102.994	2	457950
56853_sctg_2_359252	1	105.503	2	359252
56837_sctg_2_333427	1	105.503	2	333427
56785_sctg_2_275648	1	105.503	2	275648
56773_sctg_2_256218	1	105.503	2	256218
56770_sctg_2_255837	1	105.503	2	255837
56723_sctg_2_188330	1	105.503	2	188330
56491_sctg_2_152494	1	109.673	2	152494
56598_sctg_2_17065	1	120.87	2	17065
56856_sctg_2_3616	1	120.87	2	3616
52837_sctg_282_24390	1	120.87	282	24390
52850_sctg_282_39121	1	120.87	282	39121
52766_sctg_282_111402	1	120.87	282	111402
36246_sctg_203_47895	1	120.87	203	47895
36274_sctg_203_94309	1	122.121	203	94309
36191_sctg_203_240637	1	122.121	203	240637
36224_sctg_203_278893	1	122.121	203	278893
80133_sctg_465_1568	1	122.121	465	1568
54973_sctg_295_76792	1	125.882	295	76792
54897_sctg_295_100630	1	128.388	295	100630
54900_sctg_295_109418	1	128.388	295	109418
54907_sctg_295_111759	1	128.388	295	111759
54915_sctg_295_116664	1	130.891	295	116664
54916_sctg_295_126699	1	130.891	295	126699
54919_sctg_295_130875	1	130.891	295	130875
54939_sctg_295_191685	1	132.142	295	191685
12173_sctg_1262_350	1	133.392	1262	350
54646_sctg_292_2648	1	133.392	292	2648
54656_sctg_292_44958	1	133.392	292	44958
54566_sctg_292_100828	1	133.392	292	100828
54568_sctg_292_101074	1	133.392	292	101074
54618_sctg_292_165432	1	133.392	292	165432
51480_sctg_277_1151	1	135.894	277	1151
68829_sctg_376_152144	1	135.894	376	152144
68828_sctg_376_151794	1	135.894	376	151794
68809_sctg_376_136609	1	135.894	376	136609
68807_sctg_376_130199	1	135.894	376	130199
68800_sctg_376_118437	1	135.894	376	118437
68797_sctg_376_117657	1	135.894	376	117657
68784_sctg_376_110112	1	135.894	376	110112
68781_sctg_376_106356	1	137.145	376	106356
68869_sctg_376_65208	1	137.145	376	65208
24949_sctg_163_33589	1	137.145	163	33589
24977_sctg_163_36347	1	137.145	163	36347
24995_sctg_163_38361	1	137.145	163	38361
25005_sctg_163_42349	1	137.145	163	42349
25014_sctg_163_63404	1	137.145	163	63404
25015_sctg_163_65515	1	137.145	163	65515
25022_sctg_163_73263	1	137.145	163	73263
25028_sctg_163_75512	1	137.145	163	75512
25046_sctg_163_87290	1	137.145	163	87290
25054_sctg_163_89109	1	137.145	163	89109
25062_sctg_163_94577	1	137.145	163	94577
24810_sctg_163_135189	1	139.647	163	135189
24813_sctg_163_135715	1	139.647	163	135715
24814_sctg_163_135999	1	139.647	163	135999
24889_sctg_163_235164	1	139.647	163	235164
24931_sctg_163_287069	1	142.149	163	287069
24933_sctg_163_295675	1	142.149	163	295675
108858_sctg_8_1269069	1	143.4	8	1269069
108833_sctg_8_1241139	1	143.4	8	1241139
108826_sctg_8_1229043	1	143.4	8	1229043
108821_sctg_8_1225832	1	143.4	8	1225832
108820_sctg_8_1225829	1	143.4	8	1225829
108791_sctg_8_1183610	1	143.4	8	1183610
108778_sctg_8_1174321	1	143.4	8	1174321
108738_sctg_8_1140692	1	144.65	8	1140692
108718_sctg_8_1127153	1	144.65	8	1127153
108715_sctg_8_1118445	1	144.65	8	1118445
108667_sctg_8_1055460	1	144.65	8	1055460
108648_sctg_8_1028034	1	144.65	8	1028034
109291_sctg_8_604188	1	145.9	8	604188
109282_sctg_8_598105	1	145.9	8	598105
109213_sctg_8_512336	1	145.9	8	512336
109203_sctg_8_502927	1	145.9	8	502927
109061_sctg_8_362327	1	145.9	8	362327
109058_sctg_8_361652	1	145.9	8	361652
109011_sctg_8_286498	1	147.151	8	286498
108986_sctg_8_265821	1	150.91	8	265821
108955_sctg_8_215551	1	150.91	8	215551
108739_sctg_8_114308	1	152.33	8	114308
106191_sctg_83_8918	2	0	83	8918
106049_sctg_83_43328	2	0	83	43328
106159_sctg_83_60345	2	0	83	60345
106179_sctg_83_77051	2	0	83	77051
106192_sctg_83_92048	2	0	83	92048
105794_sctg_83_125119	2	0	83	125119
105804_sctg_83_132840	2	0	83	132840
105812_sctg_83_138827	2	0	83	138827
105834_sctg_83_154752	2	0	83	154752
105838_sctg_83_161348	2	0	83	161348
105985_sctg_83_369035	2	1.25	83	369035
105990_sctg_83_377768	2	1.25	83	377768
106042_sctg_83_423297	2	1.25	83	423297
106046_sctg_83_432997	2	1.25	83	432997
106078_sctg_83_493804	2	6.267	83	493804
106079_sctg_83_493807	2	6.267	83	493807
106080_sctg_83_494041	2	6.267	83	494041
106088_sctg_83_496097	2	6.267	83	496097
106117_sctg_83_549010	2	7.519	83	549010
106137_sctg_83_579328	2	8.771	83	579328
106152_sctg_83_597553	2	8.771	83	597553
95231_sctg_640_26253	2	8.771	640	26253
95219_sctg_640_10256	2	10.023	640	10256
95235_sctg_640_6844	2	10.073	640	6844
74475_sctg_40_850716	2	12.529	40	850716
74449_sctg_40_826969	2	12.529	40	826969
74424_sctg_40_776607	2	13.782	40	776607
74422_sctg_40_776194	2	13.782	40	776194
74421_sctg_40_776004	2	13.782	40	776004
74420_sctg_40_775445	2	13.782	40	775445
74400_sctg_40_745899	2	15.032	40	745899
74316_sctg_40_616259	2	15.032	40	616259
74312_sctg_40_611204	2	15.032	40	611204
74262_sctg_40_551452	2	15.032	40	551452
74239_sctg_40_520268	2	15.032	40	520268
74211_sctg_40_484958	2	15.032	40	484958
74205_sctg_40_482581	2	16.283	40	482581
74168_sctg_40_399754	2	17.535	40	399754
74165_sctg_40_399522	2	17.535	40	399522
74138_sctg_40_359703	2	18.785	40	359703
74137_sctg_40_358682	2	18.785	40	358682
74132_sctg_40_354710	2	18.785	40	354710
74115_sctg_40_324008	2	18.785	40	324008
74110_sctg_40_311569	2	20.036	40	311569
74103_sctg_40_305534	2	20.036	40	305534
74102_sctg_40_305130	2	20.036	40	305130
74094_sctg_40_294949	2	20.036	40	294949
74091_sctg_40_290573	2	20.036	40	290573
74090_sctg_40_288908	2	20.036	40	288908
74074_sctg_40_268119	2	20.036	40	268119
74062_sctg_40_260185	2	20.036	40	260185
74059_sctg_40_259678	2	20.036	40	259678
74017_sctg_40_179432	2	21.291	40	179432
74013_sctg_40_173611	2	23.798	40	173611
73997_sctg_40_143579	2	23.88	40	143579
74237_sctg_40_51926	2	28.818	40	51926
74227_sctg_40_51101	2	28.818	40	51101
74033_sctg_40_21101	2	28.818	40	21101
77227_sctg_438_43078	2	33.778	438	43078
88547_sctg_55_15451	2	33.828	55	15451
88873_sctg_55_55318	2	33.838	55	55318
88879_sctg_55_55958	2	33.838	55	55958
88925_sctg_55_59069	2	33.838	55	59069
89029_sctg_55_74382	2	33.838	55	74382
89052_sctg_55_84708	2	33.838	55	84708
88525_sctg_55_112742	2	33.838	55	112742
88538_sctg_55_140268	2	33.838	55	140268
88541_sctg_55_147005	2	33.838	55	147005
88544_sctg_55_151239	2	33.838	55	151239
88560_sctg_55_169060	2	33.838	55	169060
88566_sctg_55_179454	2	33.838	55	179454
88572_sctg_55_184141	2	33.838	55	184141
88574_sctg_55_189096	2	33.838	55	189096
88586_sctg_55_198607	2	33.838	55	198607
88593_sctg_55_213395	2	33.838	55	213395
88599_sctg_55_218512	2	33.838	55	218512
88664_sctg_55_291076	2	33.838	55	291076
88706_sctg_55_364730	2	33.838	55	364730
88751_sctg_55_405528	2	33.838	55	405528
88758_sctg_55_413933	2	33.838	55	413933
88798_sctg_55_458332	2	33.838	55	458332
88814_sctg_55_474940	2	33.838	55	474940
88914_sctg_55_585663	2	35.089	55	585663
88918_sctg_55_589039	2	35.089	55	589039
88919_sctg_55_589042	2	35.089	55	589042
88939_sctg_55_615071	2	35.089	55	615071
89040_sctg_55_752948	2	35.089	55	752948
66006_sctg_356_21653	2	36.339	356	21653
66007_sctg_356_21655	2	36.339	356	21655
66008_sctg_356_21865	2	36.339	356	21865
66046_sctg_356_96571	2	37.589	356	96571
65977_sctg_356_124738	2	37.589	356	124738
65979_sctg_356_124740	2	37.589	356	124740
66001_sctg_356_156446	2	38.84	356	156446
66002_sctg_356_156652	2	38.84	356	156652
73872_sctg_408_5619	2	38.84	408	5619
48061_sctg_259_3535	2	41.343	259	3535
48049_sctg_259_21248	2	41.343	259	21248
48008_sctg_259_115514	2	41.343	259	115514
48013_sctg_259_123116	2	41.743	259	123116
68351_sctg_370_55014	2	42.459	370	55014
68320_sctg_370_140663	2	42.459	370	140663
68333_sctg_370_151951	2	42.459	370	151951
50934_sctg_272_217934	2	42.459	272	217934
50931_sctg_272_215738	2	42.459	272	215738
50930_sctg_272_209013	2	42.459	272	209013
50924_sctg_272_204674	2	42.459	272	204674
50921_sctg_272_201903	2	42.459	272	201903
50897_sctg_272_159315	2	45.027	272	159315
37161_sctg_209_123506	2	46.296	209	123506
37171_sctg_209_140882	2	46.296	209	140882
37215_sctg_209_233531	2	48.877	209	233531
75431_sctg_41_51856	2	50.763	41	51856
75186_sctg_41_186232	2	52.728	41	186232
75194_sctg_41_204420	2	52.728	41	204420
75199_sctg_41_212928	2	52.728	41	212928
75202_sctg_41_213384	2	52.728	41	213384
75212_sctg_41_223125	2	52.728	41	223125
75232_sctg_41_243715	2	53.993	41	243715
75234_sctg_41_243936	2	53.993	41	243936
75254_sctg_41_258321	2	57.891	41	258321
75270_sctg_41_268996	2	57.891	41	268996
75274_sctg_41_273769	2	57.891	41	273769
75437_sctg_41_525328	2	60.456	41	525328
75439_sctg_41_525475	2	60.456	41	525475
75441_sctg_41_534198	2	60.456	41	534198
75455_sctg_41_553601	2	64.352	41	553601
75523_sctg_41_664357	2	64.352	41	664357
75526_sctg_41_669621	2	64.352	41	669621
75528_sctg_41_671266	2	64.352	41	671266
75531_sctg_41_671962	2	64.352	41	671962
75533_sctg_41_674300	2	64.352	41	674300
75541_sctg_41_677953	2	64.352	41	677953
75544_sctg_41_682617	2	64.352	41	682617
75550_sctg_41_687927	2	64.352	41	687927
75561_sctg_41_698556	2	64.352	41	698556
75563_sctg_41_698934	2	66.921	41	698934
75598_sctg_41_734557	2	68.191	41	734557
75665_sctg_41_842728	2	68.191	41	842728
75667_sctg_41_850610	2	68.191	41	850610
75669_sctg_41_852509	2	68.191	41	852509
87205_sctg_538_47954	2	68.191	538	47954
64483_sctg_346_109478	2	73.445	346	109478
64496_sctg_346_137449	2	73.445	346	137449
64497_sctg_346_137452	2	73.445	346	137452
64499_sctg_346_143162	2	73.445	346	143162
64500_sctg_346_143403	2	73.445	346	143403
64510_sctg_346_149680	2	73.445	346	149680
64514_sctg_346_151591	2	73.445	346	151591
64515_sctg_346_151594	2	73.445	346	151594
64527_sctg_346_160573	2	73.445	346	160573
64528_sctg_346_160796	2	73.445	346	160796
46297_sctg_24_176737	2	78.712	24	176737
46375_sctg_24_307616	2	78.712	24	307616
46434_sctg_24_404427	2	79.978	24	404427
46435_sctg_24_404430	2	79.978	24	404430
46442_sctg_24_415146	2	79.978	24	415146
46447_sctg_24_421724	2	79.978	24	421724
46467_sctg_24_434377	2	79.978	24	434377
46476_sctg_24_457243	2	79.978	24	457243
46480_sctg_24_463045	2	79.978	24	463045
46529_sctg_24_530790	2	81.244	24	530790
46540_sctg_24_556173	2	81.246	24	556173
46554_sctg_24_572490	2	81.246	24	572490
46615_sctg_24_653761	2	85.141	24	653761
46635_sctg_24_696544	2	85.141	24	696544
46663_sctg_24_755077	2	85.141	24	755077
46666_sctg_24_758131	2	85.141	24	758131
46668_sctg_24_758388	2	85.141	24	758388
46671_sctg_24_760241	2	85.141	24	760241
46708_sctg_24_820996	2	85.141	24	820996
46720_sctg_24_841395	2	85.141	24	841395
46726_sctg_24_856196	2	85.141	24	856196
46733_sctg_24_861013	2	85.141	24	861013
46772_sctg_24_905202	2	86.403	24	905202
46252_sctg_24_1023763	2	89.009	24	1023763
105521_sctg_82_33536	2	89.009	82	33536
105528_sctg_82_34780	2	89.009	82	34780
105586_sctg_82_43814	2	89.009	82	43814
105589_sctg_82_44041	2	89.009	82	44041
105628_sctg_82_50343	2	89.009	82	50343
105418_sctg_82_143433	2	89.009	82	143433
105435_sctg_82_168376	2	89.009	82	168376
105447_sctg_82_207427	2	89.009	82	207427
105502_sctg_82_311920	2	92.766	82	311920
105564_sctg_82_416983	2	94.016	82	416983
105566_sctg_82_422014	2	94.016	82	422014
105584_sctg_82_433961	2	94.016	82	433961
105639_sctg_82_520576	2	94.016	82	520576
65955_sctg_355_82217	2	96.518	355	82217
65964_sctg_355_94444	2	96.518	355	94444
65888_sctg_355_117082	2	96.518	355	117082
65889_sctg_355_117361	2	96.518	355	117361
65893_sctg_355_126254	2	96.518	355	126254
76000_sctg_424_5300	3	0	424	5300
75975_sctg_424_16876	3	0	424	16876
75992_sctg_424_39734	3	0	424	39734
76015_sctg_424_76802	3	0	424	76802
86295_sctg_523_42961	3	0	523	42961
52497_sctg_27_981114	3	0	27	981114
52496_sctg_27_981111	3	0	27	981111
52494_sctg_27_978715	3	0	27	978715
52493_sctg_27_978712	3	0	27	978712
52399_sctg_27_840205	3	1.253	27	840205
52365_sctg_27_789762	3	2.506	27	789762
52360_sctg_27_788161	3	2.506	27	788161
52355_sctg_27_783280	3	2.506	27	783280
52324_sctg_27_748295	3	2.506	27	748295
52154_sctg_27_451884	3	2.506	27	451884
52151_sctg_27_450341	3	2.506	27	450341
52142_sctg_27_438351	3	3.756	27	438351
52141_sctg_27_438348	3	3.756	27	438348
52140_sctg_27_438028	3	3.756	27	438028
52131_sctg_27_431535	3	3.756	27	431535
52119_sctg_27_419751	3	3.756	27	419751
52116_sctg_27_416498	3	3.756	27	416498
52104_sctg_27_400864	3	5.007	27	400864
52088_sctg_27_378499	3	5.707	27	378499
52082_sctg_27_361590	3	6.263	27	361590
52055_sctg_27_326699	3	11.286	27	326699
52049_sctg_27_315429	3	11.286	27	315429
52043_sctg_27_307746	3	11.286	27	307746
52029_sctg_27_291320	3	11.286	27	291320
52011_sctg_27_268608	3	11.286	27	268608
52000_sctg_27_259295	3	13.788	27	259295
51999_sctg_27_259039	3	13.788	27	259039
51898_sctg_27_131695	3	13.788	27	131695
51896_sctg_27_126307	3	13.788	27	126307
51893_sctg_27_125593	3	13.788	27	125593
51885_sctg_27_120402	3	13.788	27	120402
51882_sctg_27_119157	3	13.788	27	119157
52012_sctg_27_27105	3	16.291	27	27105
51994_sctg_27_25766	3	16.311	27	25766
57396_sctg_301_169794	3	16.341	301	169794
41132_sctg_224_85134	3	18.764	224	85134
41001_sctg_224_109176	3	18.794	224	109176
41014_sctg_224_119992	3	18.794	224	119992
41091_sctg_224_248794	3	20.055	224	248794
51441_sctg_276_214420	3	25.083	276	214420
51437_sctg_276_209746	3	25.083	276	209746
51436_sctg_276_209743	3	25.083	276	209743
51421_sctg_276_176581	3	27.585	276	176581
51388_sctg_276_140461	3	27.585	276	140461
51355_sctg_276_102431	3	27.585	276	102431
51359_sctg_276_10940	3	27.585	276	10940
62473_sctg_331_173713	3	27.585	331	173713
62488_sctg_331_32548	3	28.336	331	32548
9639_sctg_11_1148091	3	28.836	11	1148091
9632_sctg_11_1138050	3	28.836	11	1138050
9620_sctg_11_1127642	3	28.836	11	1127642
9603_sctg_11_1119257	3	28.836	11	1119257
9596_sctg_11_1116634	3	28.836	11	1116634
9595_sctg_11_1114206	3	28.836	11	1114206
9576_sctg_11_1092576	3	28.836	11	1092576
9575_sctg_11_1092573	3	28.836	11	1092573
9533_sctg_11_1043561	3	28.836	11	1043561
9532_sctg_11_1043368	3	28.836	11	1043368
9526_sctg_11_1042671	3	28.836	11	1042671
9525_sctg_11_1042581	3	28.836	11	1042581
9524_sctg_11_1042239	3	28.836	11	1042239
9521_sctg_11_1040282	3	28.836	11	1040282
9513_sctg_11_1036777	3	28.836	11	1036777
9512_sctg_11_1035584	3	28.836	11	1035584
9503_sctg_11_1024123	3	28.836	11	1024123
9497_sctg_11_1020378	3	28.836	11	1020378
9492_sctg_11_1017274	3	28.836	11	1017274
9491_sctg_11_1017025	3	28.836	11	1017025
10200_sctg_11_920663	3	28.836	11	920663
10199_sctg_11_908747	3	28.836	11	908747
10147_sctg_11_824840	3	28.836	11	824840
10126_sctg_11_778857	3	31.338	11	778857
10052_sctg_11_672712	3	31.338	11	672712
10051_sctg_11_671769	3	31.338	11	671769
10047_sctg_11_667066	3	31.338	11	667066
10041_sctg_11_665934	3	31.338	11	665934
10034_sctg_11_660228	3	31.338	11	660228
10029_sctg_11_657517	3	31.338	11	657517
10025_sctg_11_654508	3	31.338	11	654508
10015_sctg_11_643468	3	31.338	11	643468
9998_sctg_11_607156	3	32.588	11	607156
9994_sctg_11_599659	3	32.588	11	599659
9987_sctg_11_578557	3	32.588	11	578557
9985_sctg_11_577655	3	32.588	11	577655
9984_sctg_11_577437	3	32.588	11	577437
9983_sctg_11_577434	3	32.588	11	577434
9982_sctg_11_577109	3	32.588	11	577109
9978_sctg_11_573632	3	32.588	11	573632
9977_sctg_11_573629	3	32.588	11	573629
9973_sctg_11_573129	3	32.588	11	573129
9958_sctg_11_560693	3	32.588	11	560693
9925_sctg_11_524004	3	35.091	11	524004
9801_sctg_11_312197	3	38.85	11	312197
9799_sctg_11_306838	3	38.85	11	306838
9798_sctg_11_304328	3	38.85	11	304328
9772_sctg_11_263528	3	38.85	11	263528
9766_sctg_11_261514	3	38.85	11	261514
9765_sctg_11_261512	3	38.85	11	261512
9614_sctg_11_112680	3	38.85	11	112680
9863_sctg_11_427	3	40.525	11	427
43845_sctg_238_240102	3	43.882	238	240102
43842_sctg_238_239250	3	43.882	238	239250
43840_sctg_238_237553	3	43.882	238	237553
43800_sctg_238_157904	3	43.882	238	157904
43794_sctg_238_152125	3	43.922	238	152125
43881_sctg_238_57213	3	46.384	238	57213
43880_sctg_238_57210	3	46.384	238	57210
43877_sctg_238_55643	3	46.384	238	55643
43876_sctg_238_53040	3	46.384	238	53040
43866_sctg_238_39473	3	46.384	238	39473
73722_sctg_406_121678	3	46.384	406	121678
73783_sctg_406_87297	3	46.384	406	87297
73777_sctg_406_78625	3	46.384	406	78625
73761_sctg_406_67609	3	46.384	406	67609
55328_sctg_298_39378	3	53.941	298	39378
40974_sctg_223_83918	3	53.941	223	83918
40979_sctg_223_87161	3	53.941	223	87161
40980_sctg_223_87164	3	53.941	223	87164
40997_sctg_223_99880	3	53.941	223	99880
40791_sctg_223_101626	3	53.941	223	101626
40828_sctg_223_151404	3	53.941	223	151404
40833_sctg_223_156248	3	53.941	223	156248
40905_sctg_223_240751	3	53.941	223	240751
40906_sctg_223_240939	3	53.941	223	240939
40929_sctg_223_262853	3	53.941	223	262853
87840_sctg_547_44273	3	53.941	547	44273
86398_sctg_527_42051	3	55.195	527	42051
5077_sctg_107_504819	3	56.45	107	504819
5049_sctg_107_465519	3	58.955	107	465519
5010_sctg_107_418958	3	58.955	107	418958
4995_sctg_107_400996	3	60.206	107	400996
4925_sctg_107_314723	3	62.709	107	314723
4899_sctg_107_272303	3	62.709	107	272303
4895_sctg_107_267680	3	62.709	107	267680
4872_sctg_107_225230	3	62.709	107	225230
4861_sctg_107_211427	3	62.709	107	211427
4849_sctg_107_198386	3	62.709	107	198386
112271_sctg_97_151650	3	71.19	97	151650
112329_sctg_97_239557	3	75.409	97	239557
112335_sctg_97_242064	3	75.409	97	242064
112372_sctg_97_300823	3	75.409	97	300823
112376_sctg_97_302139	3	75.409	97	302139
112379_sctg_97_304514	3	75.409	97	304514
112393_sctg_97_319508	3	75.409	97	319508
112399_sctg_97_325870	3	75.409	97	325870
112405_sctg_97_336488	3	75.409	97	336488
112409_sctg_97_342553	3	75.409	97	342553
112490_sctg_97_492634	3	75.409	97	492634
85041_sctg_50_23027	3	75.409	50	23027
85345_sctg_50_68470	3	75.409	50	68470
84954_sctg_50_111438	3	76.663	50	111438
84990_sctg_50_177382	3	81.683	50	177382
85018_sctg_50_206999	3	81.683	50	206999
85145_sctg_50_403640	3	84.185	50	403640
85149_sctg_50_411043	3	84.185	50	411043
85159_sctg_50_423940	3	84.185	50	423940
85160_sctg_50_424144	3	84.185	50	424144
85161_sctg_50_424147	3	84.185	50	424147
85209_sctg_50_469729	3	84.185	50	469729
85212_sctg_50_473444	3	84.185	50	473444
85231_sctg_50_498739	3	84.185	50	498739
85244_sctg_50_527325	3	84.185	50	527325
85259_sctg_50_547200	3	84.185	50	547200
85270_sctg_50_558921	3	84.185	50	558921
85272_sctg_50_561161	3	84.185	50	561161
85285_sctg_50_591399	3	84.185	50	591399
85288_sctg_50_600920	3	84.185	50	600920
85293_sctg_50_605784	3	84.185	50	605784
85322_sctg_50_651876	3	85.435	50	651876
85325_sctg_50_652325	3	85.435	50	652325
85326_sctg_50_652514	3	85.435	50	652514
85327_sctg_50_652516	3	85.435	50	652516
85334_sctg_50_665918	3	85.436	50	665918
85358_sctg_50_695234	3	85.436	50	695234
85360_sctg_50_697522	3	85.436	50	697522
85364_sctg_50_709996	3	85.436	50	709996
85367_sctg_50_711761	3	85.436	50	711761
85398_sctg_50_753591	3	85.436	50	753591
85408_sctg_50_764737	3	85.436	50	764737
85409_sctg_50_764740	3	85.436	50	764740
90379_sctg_580_19545	3	85.436	580	19545
90395_sctg_580_32440	3	85.436	580	32440
24238_sctg_160_341822	3	85.436	160	341822
24229_sctg_160_329934	3	86.686	160	329934
24222_sctg_160_325009	3	86.686	160	325009
24221_sctg_160_324749	3	86.686	160	324749
24116_sctg_160_139160	3	90.443	160	139160
